Individual	longitude	latitude	species	Haplotype_available
4057	6.38	46.68	Niphargus_sp.	No
4058	6.38	46.68	Niphargus_virei	No
4059	6.47	46.93	Niphargus_setiferus	No
4060	6.47	46.93	Niphargus_rhenorhodanensis_Komplex	No
4061	6.53	46.81	Niphargus_rhenorhodanensis_Komplex	No
4062	6.53	46.81	Niphargus_virei	No
4063	6.53	46.81	Niphargus_rhenorhodanensis_Komplex	No
4064	6.57	46.90	Niphargus_rhenorhodanensis_Komplex	No
4065	6.61	46.90	Niphargus_setiferus	No
4066	6.74	47.09	Niphargus_virei	No
4067	6.74	47.09	Niphargus_virei	No
4068	6.79	46.98	Niphargus_rhenorhodanensis_Komplex	No
4069	6.80	46.96	Niphargus_setiferus	No
4070	6.80	46.96	Niphargus_rhenorhodanensis_Komplex	No
4071	6.82	46.13	Niphargus_sp.	No
4072	6.82	47.14	Niphargus_sp.	No
4073	6.85	47.15	Niphargus_rhenorhodanensis_Komplex	No
4074	6.87	47.16	Niphargus_rhenorhodanensis_Komplex	No
4075	6.91	47.35	Niphargus_sp.	No
4076	6.94	46.36	Niphargus_sp.	No
4077	6.93	47.09	Niphargus_setiferus	No
4078	6.93	47.13	Niphargus_sp.	No
4079	6.94	47.11	Niphargus_rhenorhodanensis_Komplex	No
4080	6.99	46.22	Niphargus_sp.	No
4081	6.99	46.22	Niphargus_sp.	No
4082	7.00	46.22	Niphargus_sp.	No
4083	7.01	46.37	Niphargus_sp.	No
4084	7.01	47.48	Niphargus_virei	No
4085	7.22	47.29	Niphargus_virei	No
4086	7.34	47.24	Niphargus_aquilex	No
4087	7.45	46.66	Niphargus_sp.	No
4088	7.54	47.36	Niphargus_sp.	No
4089	7.78	46.68	Niphargus_cf._thienemanni	No
4090	7.90	47.43	Gammarus_fossarum_Komplex	No
4091	8.55	47.18	Gammarus_fossarum_Komplex	No
4092	8.55	47.18	Niphargus_sp.	No
4093	8.71	46.99	Niphargus_sp.	No
4094	8.95	45.90	Niphargus_sp.	No
4095	8.96	45.88	Echinogammarus_stammeri	No
4096	9.00	45.93	Niphargus_sp.	No
4097	9.00	45.93	Niphargus_sp.	No
4100	7.93	47.43	Niphargus_puteanus	No
4139	6.53	46.81	Niphargus_rhenorhodanensis_Komplex	No
4140	6.87	47.16	Niphargus_rhenorhodanensis_Komplex	No
4141	6.47	46.93	Niphargus_rhenorhodanensis_Komplex	No
4142	6.76	46.97	Niphargus_cf._thienemanni	No
4150	8.96	45.88	Echinogammarus_stammeri	No
4151	6.32	46.64	Niphargus_cf._styx	No
4152	6.38	46.68	Niphargus_cf._styx	No
4153	7.89	47.64	Niphargus_sp.	No
4154	6.38	46.68	Niphargus_cf._styx	No
4161	7.01	46.37	Niphargus_cf._styx	No
4162	7.56	47.42	Gammarus_fossarum_Komplex	No
4165	7.34	47.24	Niphargus_sp.	No
4166	6.47	46.93	Niphargus_rhenorhodanensis_Komplex	No
4167	6.74	47.09	Niphargus_virei	No
4168	6.74	47.09	Niphargus_virei	No
4169	6.74	47.09	Niphargus_virei	No
4170	6.53	46.81	Niphargus_virei	No
4172	6.79	46.98	Niphargus_rhenorhodanensis_Komplex	No
4173	6.80	46.96	Niphargus_rhenorhodanensis_Komplex	No
4174	9.31	47.39	Gammarus_fossarum_Komplex	No
4175	8.20	47.52	Niphargus_puteanus	No
4176	8.20	47.52	Niphargus_puteanus	No
4177	8.20	47.52	Niphargus_puteanus	No
4178	8.20	47.52	Niphargus_puteanus	No
4428	7.65	47.63	Niphargus_rhenorhodanensis_Komplex	No
4429	9.73	47.49	Niphargus_caspary	No
4430	9.73	47.47	Niphargus_caspary	No
4431	7.93	47.42	Niphargus_puteanus	No
4446	8.60	47.68	NA	No
4452	7.50	47.76	Bogidiella_albertimagni	No
4453	10.0	47.68	Bogidiella_albertimagni	No
4454	9.70	47.82	Bogidiella_albertimagni	No
4455	7.90	47.75	Crangonyx_subterraneus	No
4456	8.70	47.79	Crangonyx_subterraneus	No
4457	9.50	47.74	Crangonyx_subterraneus	No
4458	9.56	47.60	Crangonyx_subterraneus	No
4561	8.84	46.86	Niphargus_sp.	No
4562	8.82	46.87	Niphargus_sp.	No
4563	8.82	46.87	Niphargus_sp.	No
4564	8.84	46.86	Niphargus_cf._thienemanni	No
4565	8.84	46.86	Niphargus_sp.	No
4566	8.84	46.86	Niphargus_sp.	No
4567	8.84	46.86	Niphargus_sp.	No
4568	8.83	46.87	Niphargus_sp.	No
4569	8.83	46.87	Niphargus_sp.	No
4570	10.0	46.40	Niphargus_thienemanni	No
4571	7.39	46.68	Niphargus_rhenorhodanensis_Komplex	No
4572	9.20	46.46	Niphargus_thienemanni	No
4573	6.72	46.95	Niphargus_virei	No
4576	9.00	45.93	Niphargus_brixianus	No
4577	8.95	45.90	Niphargus_brixianus	No
4578	8.95	45.90	Niphargus_brixianus	No
4579	8.95	45.90	Niphargus_brixianus	No
4580	8.95	45.90	Niphargus_brixianus	No
4581	6.47	46.93	Niphargus_setiferus	No
4583	9.93	46.46	Niphargus_cf._thienemanni	No
4643	7.41	47.43	Niphargus_aquilex	No
4644	7.67	47.66	Niphargus_aquilex	No
4645	9.57	47.74	Niphargus_aquilex	No
4646	9.70	47.82	Niphargus_aquilex	No
4647	9.44	47.81	Niphargus_aquilex	No
4661	8.65	47.16	Niphargus_luchoffmanni	No
4662	8.38	46.86	Niphargus_luchoffmanni	No
4663	8.38	46.85	Niphargus_luchoffmanni	No
4664	8.38	46.85	Niphargus_luchoffmanni	No
4665	8.73	47.46	Niphargus_tonywhitteni	No
4667	8.35	46.77	Niphargus_luchoffmanni	No
4668	7.83	46.75	Niphargus_luchoffmanni	No
4669	7.73	46.50	Niphargus_luchoffmanni	No
4671	7.34	47.24	Niphargus_aquilex	No
4672	10.1	48.67	Niphargus_tonywhitteni	No
4673	10.1	48.67	Niphargus_tonywhitteni	No
4674	8.03	48.33	Niphargus_tonywhitteni	No
4675	7.66	47.67	Niphargus_aquilex	No
